经纬度,id,小区名称,所在区域,总价（万元）,单价（元）,房屋户型,所在楼层,建筑面积（㎡）,户型结构,套内面积（㎡）,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
北京门头沟新桥南大街,14,新桥南大街,门头沟,230,43578,2室1厅1厨1卫,底层 (共6层),52.78,平层,暂无数据,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,2019/8/3,已购公房,1997/5/22,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京东城化工大院,15,化工大院,东城,550,99010,3室1厅1厨1卫,高楼层 (共6层),55.55,平层,55.55,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,2019/4/20,私产,2004/6/18,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京房山碧桂园小区二区,16,碧桂园小区二区,房山,259,28949,2室1厅1厨1卫,底层 (共6层),89.47,平层,80.29,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,2019/9/1,商品房,2019/8/12,普通住宅,未满两年,非共有,无抵押,已上传房本照片
北京丰台星河城西区,17,星河城西区,丰台,650,64825,3室1厅1厨1卫,中楼层 (共17层),100.27,平层,83.05,板塔结合,东 西 北,钢混结构,简装,两梯五户,集中供暖,有,70年,2019/11/13,私产,2008/4/9,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京石景山远洋山水,18,远洋山水,石景山,920,68113,3室1厅1厨2卫,顶层 (共24层),135.07,平层,111.96,板塔结合,东南,钢混结构,其他,两梯五户,集中供暖,有,70年,2019/12/4,商品房,2018/5/4,普通住宅,未满两年,非共有,无抵押,已上传房本照片
北京平谷首城汇景湾,19,首城汇景湾,平谷,178,25227,1室1厅1厨1卫,中楼层 (共18层),70.56,平层,52.92,板楼,南,钢混结构,其他,一梯四户,集中供暖,有,70年,2019/3/22,商品房,2016/10/24,普通住宅,满两年,非共有,暂无数据,已上传房本照片
北京大兴瑞海家园一区,20,瑞海家园一区,大兴,405,41637,2室2厅1厨1卫,高楼层 (共6层),97.27,平层,86.52,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,2019/4/30,一类经济适用房,2005/10/18,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京门头沟倚山嘉园,21,倚山嘉园,门头沟,235,32762,1室1厅1厨1卫,顶层 (共11层),71.73,平层,暂无数据,板楼,东,钢混结构,精装,一梯三户,自供暖,有,70年,2019/8/7,商品房,2008/10/2,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京昌平龙泽苑东区,22,龙泽苑东区,昌平,420,55373,2室1厅1厨1卫,中楼层 (共7层),75.85,平层,68.65,板楼,东 西,钢混结构,简装,一梯三户,集中供暖,无,70年,2019/12/8,商品房,2012/5/22,普通住宅,满五年,非共有,有抵押 60万元 农业银行 客户偿还,已上传房本照片
北京门头沟润西山苑,23,润西山苑,门头沟,555,43660,3室1厅1厨2卫,高楼层 (共10层),127.12,平层,106.31,板楼,南 北,钢混结构,毛坯,一梯两户,集中供暖,有,70年,2018/12/26,商品房,2019/3/29,普通住宅,未满两年,非共有,无抵押,已上传房本照片
北京门头沟桃园小区,24,桃园小区,门头沟,240,28226,2室1厅1厨1卫,顶层 (共6层),85.03,平层,76.1,板楼,东 北,混合结构,简装,一梯三户,集中供暖,无,70年,2019/9/5,已购公房,2011/12/12,普通住宅,满五年,非共有,有抵押 6万元 建设银行 业主自还,已上传房本照片
北京门头沟中门寺街67号院,25,中门寺街67号院,门头沟,249,32729,2室1厅1厨1卫,低楼层 (共6层),76.08,平层,67.09,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2019/7/4,商品房,2002/7/16,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京朝阳小营西路1号,26,小营西路1号,朝阳,388,53049,2室1厅1厨1卫,中楼层 (共7层),73.14,平层,50.86,板楼,南,混合结构,简装,一梯四户,集中供暖,无,70年,2018/5/10,已购公房,2001/4/10,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京门头沟军庄杨坨小区,27,军庄杨坨小区,门头沟,135,27974,2室1厅1厨1卫,中楼层 (共6层),48.26,平层,33.8,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,2019/4/6,商品房,2017/1/22,普通住宅,满两年,非共有,无抵押,已上传房本照片
北京房山首创伊林郡,28,首创伊林郡,房山,295,35998,2室1厅1厨1卫,低楼层 (共17层),81.95,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,自供暖,有,70年,2018/8/7,商品房,2017/7/21,普通住宅,满两年,非共有,有抵押 80万元 业主自还,已上传房本照片
